,HOLLISTER_2,dummy
418,75.737,0
419,55.255,0
420,28.857,0
421,3.023,0
422,-25.201,0
423,-45.676,0
424,-46.916,0
425,-22.128,0
426,36.677,0
427,93.661,0
428,122.801,0
429,127.805,0
430,113.733,0
431,88.099,0
432,56.998,0
433,22.512,0
434,-20.665,0
435,-68.121,0
436,-92.008,0
437,-72.205,0
438,-34.907,0
439,-1.277,0
440,28.684,0
441,59.618,0
442,89.38,0
443,99.064,0
444,80.938,0
445,35.454,0
446,-16.915,0
447,-55.837,0
448,-75.583,0
449,-78.234,0
450,-69.27,0
451,-58.562,0
452,-54.996,0
453,-55.925,0
454,-61.018,0
455,-61.895,0
456,-49.909,0
457,-28.348,0
458,-14.635,0
459,-15.903,0
460,-16.295,0
461,-11.181,0
462,-1.949,0
463,10.229,0
464,23.267,0
465,36.158,0
466,34.612,0
467,11.882,0
468,-25.004,0
469,-60.86,0
470,-79.01,0
471,-78.64,0
472,-65.966,0
473,-40.878,0
474,-4.449,0
475,34.928,0
476,67.427,0
477,83.357,0
478,83.343,0
479,71.863,0
480,53.511,0
481,38.044,0
482,30.917,0
483,20.997,0
484,-4.242,0
485,-24.641,0
486,-15.661,0
487,27.34,0
488,69.866,0
489,89.778,0
490,97.092,0
491,93.671,0
492,76.676,0
493,50.461,0
494,20.404,0
495,-3.097,0
496,-8.799,0
497,-1.352,0
498,14.903,0
499,26.463,0
500,31.537,0
501,30.631,0
502,25.525,0
503,19.466,0
504,7.342,0
505,-15.28,0
506,-41.998,0
507,-53.198,0
508,-46.012,0
509,-23.03,0
510,12.193,0
511,37.794,0
512,36.831,0
513,6.002,0
514,-38.806,0
515,-72.307,0
516,-89.503,0
517,-89.554,0
518,-78.389,0
519,-59.465,0
520,-40.194,0
521,-35.091,0
522,-39.82,0
523,-44.249,0
524,-40.014,0
525,-26.255,0
526,-12.495,0
527,-3.29,0
528,7.948,0
529,17.733,0
530,23.562,0
531,18.808,0
532,7.474,0
533,-4.745,0
534,-16.745,0
535,-23.213,0
536,-21.112,0
537,0.501,0
538,30.225,0
539,52.764,0
540,68.288,0
541,76.046,0
542,82.999,0
543,95.268,0
544,109.412,0
545,121.968,0
546,125.885,0
547,117.151,0
548,96.062,0
549,72.309,0
550,47.483,0
551,14.581,0
552,-18.065,0
553,-40.039,0
554,-47.547,0
555,-58.774,0
556,-81.407,0
557,-106.583,0
558,-119.54,0
559,-120.48,0
560,-112.226,0
561,-94.319,0
562,-68.42,0
563,-37.609,0
564,-15.329,0
565,-4.572,0
566,-9.03,0
567,-25.434,0
568,-44.527,0
569,-58.833,0
570,-66.549,0
571,-69.073,0
572,-62.764,0
573,-44.878,0
574,-26.04,0
575,-11.82,0
576,-4.765,0
577,-12.719,0
578,-27.345,0
579,-41.188,0
580,-50.534,0
581,-59.32,0
582,-69.529,0
583,-77.007,0
584,-81.683,0
585,-79.326,0
586,-68.128,0
587,-53.61,0
588,-36.635,0
589,-10.92,0
590,20.838,0
591,51.464,0
592,80.055,0
593,103.888,0
594,120.547,0
595,128.722,0
596,132.91,0
597,140.311,0
598,147.977,0
599,150.831,0
600,148.467,0
601,142.906,0
602,135.189,0
603,122.618,0
604,101.375,0
605,76.275,0
606,51.262,0
607,27.813,0
608,11.249,0
609,-10.327,0
610,-32.49,0
611,-39.464,0
612,-38.638,0
613,-39.132,0
614,-42.88,0
615,-48.402,0
616,-57.151,0
617,-61.535,0
618,-64.224,0
619,-63.723,0
620,-61.283,0
621,-54.657,0
622,-40.07,0
623,-21.648,0
624,-10.127,0
625,-4.564,0
626,-1.697,0
627,-3.816,0
628,-5.459,0
629,-6.585,0
630,1.572,0
631,15.174,0
632,27.451,0
633,35.089,0
634,38.228,0
635,38.958,0
636,40.818,0
637,42.19,0
638,38.753,0
639,26.229,0
640,4.513,0
641,-19.473,0
642,-38.875,0
643,-46.825,0
644,-42.696,0
645,-30.222,0
646,-19.889,0
647,-22.104,0
648,-36.568,0
649,-58.177,0
650,-73.556,0
651,-78.106,0
652,-73.049,0
653,-60.403,0
654,-40.351,0
655,-9.845,0
656,22.095,0
657,39.384,0
658,33.778,0
659,14.193,0
660,-10.778,0
661,-34.181,0
662,-44.847,0
663,-41.707,0
664,-33.023,0
665,-16.97,0
666,2.772,0
667,18.394,0
668,23.576,0
669,17.634,0
670,8.104,0
671,-3.38,0
672,-16.098,0
673,-26.882,0
674,-35.039,0
675,-38.383,0
676,-34.49,0
677,-25.863,0
678,-13.394,0
679,1.657,0
680,16.102,0
681,23.058,0
682,23.348,0
683,23.577,0
684,23.457,0
685,24.995,0
686,27.925,0
687,34.996,0
688,43.298,0
689,53.071,0
690,66.793,0
691,71.806,0
692,68.859,0
693,54.943,0
694,33.674,0
695,16.883,0
696,9.839,0
697,11.649,0
698,12.68,0
699,8.358,0
700,-0.541,0
701,-8.383,0
702,-12.877,0
703,-15.917,0
704,-15.376,0
705,-9.616,0
706,1.74,0
707,13.367,0
708,12.264,0
709,-7.315,0
710,-29.779,0
711,-40.09,0
712,-36.93,0
713,-20.693,0
714,-1.396,0
715,10.67,0
716,14.528,0
717,16.634,0
718,22.824,0
719,30.459,0
720,37.237,0
721,38.684,0
722,32.709,0
723,22.875,0
724,13.78,0
725,10.563,0
726,11.684,0
727,17.999,0
728,23.946,0
729,26.08,0
730,26.153,0
731,28.309,0
732,35.164,0
733,44.288,0
734,52.769,0
735,58.654,0
736,62.153,0
737,63.273,0
738,60.537,0
739,52.959,0
740,46.602,0
741,42.948,0
742,43.135,0
743,43.31,0
744,39.904,0
745,32.582,0
746,20.412,0
747,13.344,0
748,12.046,0
749,14.637,0
750,17.734,0
751,18.114,0
752,16.694,0
753,13.647,0
754,12.512,0
755,15.522,0
756,20.836,0
757,24.17,0
758,25.08,0
759,15.927,0
760,1.06,0
761,-14.506,0
762,-26.014,0
763,-30.039,0
764,-26.572,0
765,-11.528,0
766,11.712,0
767,38.475,0
768,60.872,0
769,70.475,0
770,69.458,0
771,60.271,0
772,43.708,0
773,23.243,0
774,-0.335,0
775,-22.526,0
776,-36.394,0
777,-38.981,0
778,-36.472,0
779,-34.286,0
780,-33.334,0
781,-32.177,0
782,-27.977,0
783,-22.456,0
784,-20.033,0
785,-20.023,0
786,-25.827,0
787,-31.607,0
788,-32.236,0
789,-29.93,0
790,-24.211,0
791,-19.811,0
792,-21.335,0
793,-30.345,0
794,-41.815,0
795,-53.527,0
796,-62.141,0
797,-65.114,0
798,-65.984,0
799,-63.647,0
800,-62.445,0
801,-62.593,0
802,-63.084,0
803,-65.136,0
804,-68.81,0
805,-72.315,0
806,-71.705,0
807,-67.491,0
808,-58.222,0
809,-45.173,0
810,-26.831,0
811,-3.873,0
812,18.112,0
813,32.337,0
814,36.108,0
815,35.239,0
816,31.442,0
817,23.917,0
818,18.763,0
819,17.862,0
820,18.845,0
821,18.436,0
822,14.503,0
823,8.271,0
824,3.063,0
825,0.83,0
826,2.592,0
827,8.286,0
828,13.284,0
829,15.569,0
830,13.125,0
831,5.378,0
832,-7.877,0
833,-20.221,0
834,-30.64,0
835,-36.696,0
836,-38.036,0
837,-33.551,0
838,-29.583,0
839,-26.013,0
840,-20.195,0
841,-11.669,0
842,0.684,0
843,8.804,0
844,14.065,0
845,16.167,0
846,15.473,0
847,12.339,0
848,5.975,0
849,-4.7,0
850,-14.025,0
851,-21.262,0
852,-26.903,0
853,-27.55,0
854,-23.743,0
855,-15.605,0
856,-6.374,0
857,3.86,0
858,10.278,0
859,12.913,0
860,12.401,0
861,8.226,0
862,-1.466,0
863,-19.816,0
864,-37.322,0
865,-48.854,0
866,-54.509,0
867,-53.081,0
868,-48.595,0
869,-47.735,0
870,-48.414,0
871,-50.777,0
872,-53.186,0
873,-56.318,0
874,-56.294,0
875,-54.898,0
876,-55.375,0
877,-56.569,0
878,-58.431,0
879,-55.731,0
880,-49.382,0
881,-41.419,0
882,-33.737,0
883,-26.609,0
884,-23.815,0
885,-22.148,0
886,-20.339,0
887,-18.655,0
888,-14.023,0
889,-7.88,0
890,-0.76,0
891,5.643,0
892,6.265,0
893,-6.357,0
894,-27.026,0
895,-40.61,0
896,-42.379,0
897,-38.928,0
898,-34.779,0
899,-33.892,0
900,-35.692,0
901,-39.187,0
902,-39.626,0
903,-32.216,0
904,-19.4,0
905,0.752,0
906,13.758,0
907,18.643,0
908,19.991,0
909,15.628,0
910,10.963,0
911,11.545,0
912,15.614,0
913,20.238,0
914,21.566,0
915,22.141,0
916,23.961,0
917,25.999,0
918,31.059,0
919,35.713,0
920,41.212,0
921,43.841,0
922,42.361,0
923,33.857,0
924,24.355,0
925,19.566,0
926,18.25,0
927,18.335,0
928,19.873,0
929,20.721,0
930,19.745,0
931,16.861,0
932,13.424,0
933,10.813,0
934,7.429,0
935,5.313,0
936,1.804,0
937,-1.354,0
938,-4.566,0
939,-6.915,0
940,-5.138,0
941,-3.998,0
942,-5.025,0
943,-8.254,0
944,-13.775,0
945,-16.472,0
946,-13.381,0
947,-1.996,0
948,13.279,0
949,29.878,0
950,46.098,0
951,58.221,0
952,66.806,0
953,74.817,0
954,81.318,0
955,85.855,0
956,87.652,0
957,84.611,0
958,82.02,0
959,77.002,0
960,73.724,0
961,71.078,0
962,66.069,0
963,60.189,0
964,49.114,0
965,37.044,0
966,25.705,0
967,20.321,0
968,20.125,0
969,23.323,0
970,28.551,0
971,33.091,0
972,34.069,0
973,31.32,0
974,23.732,0
975,13.101,0
976,0.43,0
977,-12.547,0
978,-23.778,0
979,-29.953,0
980,-27.914,0
981,-19.059,0
982,-4.234,0
983,11.07,0
984,24.023,0
985,31.037,0
986,33.309,0
987,31.822,0
988,30.867,0
989,31.821,0
990,35.25,0
991,38.72,0
992,42.214,0
993,45.569,0
994,47.163,0
995,44.349,0
996,36.585,0
997,28.315,0
998,25.035,0
999,26.553,0
1000,30.781,0
1001,38.28,0
1002,43.349,0
1003,44.07,0
1004,36.516,0
1005,23.151,0
1006,9.883,0
1007,-2.297,0
1008,-11.143,0
1009,-14.87,0
1010,-15.54,0
1011,-16.476,0
1012,-16.084,0
1013,-17.742,0
1014,-18.328,0
1015,-18.488,0
1016,-19.217,0
1017,-18.58,0
1018,-16.556,0
1019,-14.035,0
1020,-15.285,0
1021,-17.296,0
1022,-19.472,0
1023,-21.329,0
1024,-22.913,0
1025,-21.215,0
1026,-17.005,0
1027,-11.637,0
1028,-5.601,0
1029,-1.324,0
1030,-1.122,0
1031,-3.957,0
1032,-7.253,0
1033,-11.362,0
1034,-13.338,0
1035,-16.692,0
1036,-17.985,0
1037,-19.615,0
1038,-20.917,0
1039,-21.424,0
1040,-17.157,0
1041,-13.103,0
1042,-12.784,0
1043,-13.59,0
1044,-18.537,0
1045,-21.296,0
1046,-22.555,0
1047,-23.637,0
1048,-26.335,0
1049,-27.952,0
1050,-28.344,0
1051,-26.27,0
1052,-17.029,0
1053,-5.233,0
1054,1.134,0
1055,1.07,0
1056,-1.711,0
1057,-5.502,0
1058,-8.995,0
1059,-10.059,0
1060,-9.765,0
1061,-10.107,0
1062,-9.626,0
1063,-11.587,0
1064,-12.924,0
1065,-12.867,0
1066,-13.752,0
1067,-13.286,0
1068,-11.026,0
1069,-6.123,0
1070,-1.954,0
1071,1.6,0
1072,3.748,0
1073,2.629,0
1074,-1.566,0
1075,-6.409,0
1076,-11.176,0
1077,-16.679,0
1078,-20.308,0
1079,-21.85,0
1080,-22.403,0
1081,-21.602,0
1082,-18.415,0
1083,-14.264,0
1084,-11.397,0
1085,-6.548,0
1086,-0.895,0
1087,4.241,0
1088,8.561,0
1089,12.567,0
1090,15.705,0
1091,15.606,0
1092,15.89,0
1093,15.52,0
1094,18.147,0
1095,24.519,0
1096,31.563,0
1097,36.415,0
1098,39.749,0
1099,44.707,0
1100,46.184,0
1101,43.14,0
1102,34.724,0
1103,26.786,0
1104,21.133,0
1105,18.842,0
1106,16.987,0
1107,13.845,0
1108,7.432,0
1109,-6.2,0
1110,-18.585,0
1111,-30.07,0
1112,-34.518,0
1113,-33.112,0
1114,-28.157,0
1115,-19.689,0
1116,-16.718,0
1117,-16.647,0
1118,-16.473,0
1119,-18.285,0
1120,-23.037,0
1121,-27.132,0
1122,-28.755,0
1123,-26.623,0
1124,-20.917,0
1125,-15.961,0
1126,-14.391,0
1127,-19.186,0
1128,-25.476,0
1129,-29.449,0
1130,-32.175,0
1131,-35.359,0
1132,-37.656,0
1133,-38.341,0
1134,-36.414,0
1135,-32.515,0
1136,-28.618,0
1137,-24.033,0
1138,-21.101,0
1139,-19.99,0
1140,-17.932,0
1141,-16.999,0
1142,-15.488,0
1143,-10.747,0
1144,-5.92,0
1145,-3.398,0
1146,-5.744,0
1147,-8.042,0
1148,-9.715,0
1149,-10.945,0
1150,-12.27,0
1151,-13.994,0
1152,-18.938,0
1153,-24.526,0
1154,-27.933,0
1155,-31.393,0
1156,-33.036,0
1157,-33.846,0
1158,-33.622,0
1159,-34.334,0
1160,-31.333,0
1161,-26.44,0
1162,-18.892,0
1163,-9.877,0
1164,-2.822,0
1165,3.756,0
1166,7.173,0
1167,11.221,0
1168,17.611,0
1169,24.075,0
1170,27.889,0
1171,28.25,0
1172,24.839,0
1173,19.593,0
1174,12.605,0
1175,6.398,0
1176,5.662,0
1177,9.454,0
1178,17.539,0
1179,24.385,0
1180,26.85,0
1181,23.14,0
1182,17.099,0
1183,11.758,0
1184,8.745,0
1185,8.915,0
1186,9.244,0
1187,9.924,0
1188,8.33,0
1189,0.014,0
1190,-9.071,0
1191,-17.489,0
1192,-21.083,0
1193,-17.372,0
1194,-10.571,0
1195,-4.68,0
1196,-3.247,0
1197,-5.057,0
1198,-11.391,0
1199,-18.229,0
1200,-21.839,0
1201,-21.157,0
1202,-19.005,0
1203,-16.322,0
1204,-14.459,0
1205,-10.865,0
1206,-4.575,0
1207,3.04,0
1208,9.077,0
1209,6.999,0
1210,-0.121,0
1211,-7.764,0
1212,-11.377,0
1213,-11.578,0
1214,-9.041,0
1215,-2.434,0
1216,3.195,0
1217,6.831,0
